sex,age,2011,2012,2013,2014
male,20,1.7,2.3,2.5,2.4
female,20,3.1,3.9,3.6,5.3
male,21,1.8,2.6,1.8,2.3
female,21,3.5,4.8,4.6,5.6
male,22,2.6,2.4,3.1,3.5
female,22,5.5,5.5,5.6,6.5
male,23,3.8,4.8,4.1,4.3
female,23,7.5,7.5,8.9,8.6
male,24,5.6,6.5,6.9,7.8
female,24,12.1,12.6,12,13.6
male,25,10.8,10.3,10.2,12.1
female,25,17.2,17.9,18.4,19.9
male,26,15.2,16.4,16.2,17.8
female,26,25.6,26.9,27.9,27.4
male,27,24.2,26.3,22.9,27.2
female,27,34.9,38.3,35.7,38.4
male,28,33.5,37.3,36.2,37.5
female,28,43.1,45.2,45.5,49.7
male,29,39.6,44.3,45.3,49.6
female,29,47.5,49.7,51,57.9
male,30,42.8,48.3,51.1,56
female,30,46.3,51.7,51.4,55.3
male,31,46.5,47.7,49.9,56.5
female,31,45.5,46,50.5,54.7
male,32,42.9,45.3,46.6,52.9
female,32,36.9,39.9,39.5,45
male,33,38.5,39.9,42.1,45.5
female,33,32,34.1,34.9,37.4
male,34,30.8,33.8,37.4,37.4
female,34,25.7,26.6,28.6,30.3
male,35,27.8,31.5,29.7,34.5
female,35,21.3,21.9,24.3,26.7
male,36,22.3,22.7,24.1,28.4
female,36,17.4,17.4,19.1,20.8
male,37,20.7,20.3,19.9,21
female,37,13.2,15.2,14.6,15.6
male,38,16.9,17.6,19.2,19.3
female,38,11.4,12,12.3,12.3
male,39,13.2,15,15.7,16.9
female,39,10.6,10.6,11.9,11.4
male,40,11.9,11.8,13.4,14.6
female,40,8,8.5,9.1,9.2
male,41,10.5,9.9,12,11
female,41,6.4,6.7,5.8,7.4
male,42,8.6,9.1,8.9,9.7
female,42,6,5.6,6.6,6.7
male,43,7,9,7.8,8.5
female,43,5,4.7,4.5,5.8
male,44,6.2,7,6.7,7.8
female,44,4.9,4,4.5,4.8
male,45,6.4,6.4,5.6,7.2
female,45,4.3,4,4.4,5
male,46,5,5.3,5.7,5.3
female,46,3.7,4.2,3.9,3.3
male,47,5.1,4.5,4.8,5.6
female,47,3,3.2,3.6,3.5
male,48,4.7,4.6,3.9,4.4
female,48,3.1,3.3,2.5,3.3
male,49,4.2,4.1,3.9,3.8
female,49,2.6,2.8,2.9,3.4
total,all,1018.1,1081.7,1105.7,1205.6
