sex,Age,2011,2012,2013,2014
both,0,72452,74235,75160,73850
both,1,72593,72573,74364,75368
both,2,72506,72773,72763,74636
both,3,71394,72651,72928,72999
both,4,67094,71583,72849,73203
both,5,64706,67216,71714,73057
both,6,64754,64828,67347,71919
both,7,64211,64896,64978,67570
both,8,63581,64312,65007,65162
both,9,62386,63630,64371,65141
both,10,61181,62449,63702,64516
both,11,60587,61208,62485,63813
both,12,60926,60590,61220,62572
both,13,59683,60947,60621,61327
both,14,58662,59725,60999,60747
both,15,56726,58732,59805,61156
both,16,55743,56833,58850,60010
both,17,55328,55372,56506,58831
both,18,56290,51883,52165,54819
both,19,56953,52747,48613,50650
both,20,59462,54094,50160,47824
both,21,57951,56993,51904,49828
both,22,57957,55704,55028,51865
both,23,60287,55786,53825,55150
both,24,62914,58136,53929,53961
both,25,65838,62548,57946,54988
both,26,68617,65230,62104,58662
both,27,72127,67768,64544,62546
both,28,76965,71118,66915,64758
both,29,79330,75781,70085,66886
both,30,82618,78123,74714,69947
both,31,81744,81199,76841,74323
both,32,78585,80538,80115,76569
both,33,75824,77459,79519,79830
both,34,74596,74745,76478,79196
both,35,74026,73730,73967,76285
both,36,73757,73242,73025,73780
both,37,72332,73059,72611,72839
both,38,72374,71755,72540,72490
both,39,70600,71808,71244,72380
both,40,70073,70126,71376,71114
both,41,68196,69591,69684,71203
both,42,64449,67826,69255,69588
both,43,63813,64084,67489,69131
both,44,62803,63494,63791,67367
both,45,62449,62728,63431,63832
both,46,62929,62372,62661,63450
both,47,61159,62788,62244,62619
both,48,59593,61004,62642,62183
both,49,57980,59453,60871,62589
both,50,58356,57853,59333,60829
both,51,56005,58178,57686,59245
both,52,53899,55794,57970,57561
both,53,53311,53660,55561,57810
both,54,52166,53047,53405,55379
both,55,50538,51920,52809,53242
both,56,50244,50254,51642,52605
both,57,48223,49946,49966,51422
both,58,48427,47902,49627,49720
both,59,45948,48087,47574,49364
both,60,45096,45616,47753,47313
both,61,44384,44730,45256,47450
both,62,43719,44004,44355,44946
both,63,42832,43298,43591,44004
both,64,41073,42372,42843,43203
both,65,39558,40585,41883,42429
both,66,36249,39049,40074,41438
both,67,34386,35738,38514,39603
both,68,32464,33852,35195,38010
both,69,29414,31931,33306,34703
both,70,27904,28852,31339,32763
both,71,27579,27332,28271,30786
both,72,26293,26971,26736,27725
both,73,24446,25645,26317,26151
both,74,23905,23764,24940,25661
both,75,22895,23178,23048,24256
both,76,21600,22124,22404,22340
both,77,20506,20791,21303,21632
both,78,18734,19653,19933,20485
both,79,17631,17859,18744,19068
both,80,16867,16730,16952,17848
